id,parent,focus,signal,slack,drag,confidence,score,lane,kind,invariant,mutation
m001,g001,dry-run spread,78,49,11,46,267,ship,baseline,monotonic-signal,raise-signal
m002,g002,rename risk,56,57,10,85,281,ship,edge,drag-penalty,drop-slack
m003,g003,operator cost,53,10,39,85,94,hold,recovery,confidence-floor,raise-drag
m004,g004,idempotence,55,54,24,57,203,ship,negative,lane-boundary,lower-confidence
m005,g005,dry-run spread,113,43,42,67,253,ship,baseline,monotonic-signal,raise-signal
m006,g006,rename risk,44,64,32,27,147,watch,edge,drag-penalty,drop-slack
m007,g007,operator cost,61,59,35,98,233,ship,recovery,confidence-floor,raise-drag
m008,g008,idempotence,117,18,7,39,288,ship,negative,lane-boundary,lower-confidence
m009,g009,dry-run spread,114,70,40,33,281,ship,baseline,monotonic-signal,raise-signal
m010,g010,rename risk,58,53,37,71,182,watch,edge,drag-penalty,drop-slack
m011,g011,operator cost,82,28,23,95,246,ship,recovery,confidence-floor,raise-drag
m012,g012,idempotence,54,48,28,55,175,watch,negative,lane-boundary,lower-confidence
m013,g013,dry-run spread,96,60,43,102,285,ship,baseline,monotonic-signal,raise-signal
m014,g014,rename risk,107,58,44,38,236,ship,edge,drag-penalty,drop-slack
m015,g015,operator cost,77,76,32,53,263,ship,recovery,confidence-floor,raise-drag
m016,g016,idempotence,65,47,17,52,225,ship,negative,lane-boundary,lower-confidence
m017,g017,dry-run spread,72,70,36,33,209,ship,baseline,monotonic-signal,raise-signal
m018,g018,rename risk,109,3,26,21,167,watch,edge,drag-penalty,drop-slack
m019,g019,operator cost,92,58,50,63,213,ship,recovery,confidence-floor,raise-drag
m020,g020,idempotence,43,13,11,32,111,hold,negative,lane-boundary,lower-confidence
m021,g021,dry-run spread,119,63,39,84,331,ship,baseline,monotonic-signal,raise-signal
m022,g022,rename risk,59,9,12,84,184,watch,edge,drag-penalty,drop-slack
m023,g023,operator cost,81,36,49,69,156,watch,recovery,confidence-floor,raise-drag
m024,g024,idempotence,51,47,38,53,135,watch,negative,lane-boundary,lower-confidence
m025,g025,dry-run spread,93,47,37,26,195,watch,baseline,monotonic-signal,raise-signal
m026,g026,rename risk,104,11,17,97,276,ship,edge,drag-penalty,drop-slack
m027,g027,operator cost,117,47,16,51,331,ship,recovery,confidence-floor,raise-drag
m028,g028,idempotence,83,27,27,19,158,watch,negative,lane-boundary,lower-confidence
